code,name,year,HA_score,LO_score,I_score,E_score,HALO_score
2,万科A,2022,46.12016165591211,42.84749518269127,64.53649314698535,57.4506875,49.79104727290825
2,万科A,2023,45.7179509437966,44.148411439369255,56.21835122544055,57.70731249999999,48.46762832919615
2,万科A,2024,41.91672212737637,47.45288446942629,43.992640604955774,72.9463,47.37252042987208
6,深振业A,2022,42.981567753696574,25.769106543757413,48.08784957930685,45.6665,38.24695591997027
7,*ST 全新,2023,27.08701061952024,41.715623348860746,58.82114644520965,0.0,35.845151177975275
7,全新好,2022,40.89431600065589,41.93793805662585,60.94119235703194,23.658725,43.545399891455
7,全新好,2024,27.30981799241877,52.10454734327254,39.13645263655391,0.0,35.62231839480275
8,神州高铁,2022,47.71935916355604,31.51368261397538,56.5373708729998,35.8288875,42.62192754673596
8,神州高铁,2023,45.398690162716896,32.00119435154509,79.34474377152117,35.8609125,46.54499958429593
8,神州高铁,2024,40.08121376968855,36.21005918551915,56.414151644048346,45.74955,42.559730863132366
9,中国宝安,2022,55.87738842752009,24.21437587462788,71.38444399432854,43.976,46.70660630461749
9,中国宝安,2023,57.93184602177918,25.461697378403485,71.84525015191412,0.0,43.55679022044676
9,中国宝安,2024,69.43777308371192,30.01674230225727,56.83951117412734,0.0,46.17698261991468
10,美丽生态,2022,30.645176847323896,22.131444358644863,31.36182567011005,10.5831125,25.802493806111073
10,美丽生态,2023,30.461915371779657,38.34596102158655,32.64040796055078,0.0,30.61083832978833
10,美丽生态,2024,28.98617822660764,48.67355745881676,38.468030517858345,0.0,34.874513593470205
11,深物业A,2022,30.915246390231196,29.11724816512053,19.370737965025995,44.6017,29.345690687378305
11,深物业A,2023,30.597914677315124,20.203459568871317,19.44163122003916,34.9998,25.168787230173084
11,深物业A,2024,30.426227610752623,22.31506396432034,17.71993788400513,57.083125,27.711752128076565
12,南玻A,2022,62.222093617677984,59.993357911223,39.56350010127608,30.0098625,53.68909430537056
12,南玻A,2023,64.11258041802907,60.02540984032538,45.098237796232524,12.0729125,53.675235399670555
12,南玻A,2024,63.44512283341531,57.73108978141895,25.78488960907433,23.939775,49.96262983700685
14,沙河股份,2022,34.24674710880909,33.13549040719329,53.65950672779418,45.809,38.89658447615967
14,沙河股份,2023,25.490706714121742,30.231106207204096,51.69064555386535,57.26125,35.56688863323711
14,沙河股份,2024,31.524831929936248,28.11705272538253,37.26622105192087,60.83275,34.411178839745745
16,深康佳A,2022,40.5104314360948,49.13909941059368,29.73634460873675,41.3501875,41.45962346808832
16,深康佳A,2023,45.92243216914071,54.07451311497209,34.71237593680373,23.77255,44.31866103680022
16,深康佳A,2024,46.69405943459012,61.84794838979998,19.49902099790696,21.713175,44.060824438117926
17,深中华A,2022,19.89930264185885,24.109500579441708,50.822024171224086,23.977,27.965185961700016
17,深中华A,2023,19.105491092527757,25.55904109873114,53.261089730605626,0.0,26.28480421306174
17,深中华A,2024,20.761596110998585,34.66263291306236,63.9305246100871,12.1044375,33.395028830438754
19,深粮控股,2022,47.53706222209361,32.716515502099455,54.98953480521234,35.692875,42.65594666451004
19,深粮控股,2023,48.16497390935309,20.83849719179789,54.832556883397466,12.125175,36.33024376208233
19,深粮控股,2024,45.948474589349615,26.533403422465756,49.17459995948956,24.25035,37.62861229603329
20,深华发A,2022,43.4995225556295,59.93637977184327,49.537505907771255,22.8931,48.39937699616972
20,深华发A,2023,42.047898762502776,62.21876838617278,46.1683883600027,11.44655,46.87166617403698
20,深华发A,2024,47.109773623851,71.27392730027725,34.16717304705961,0.0,48.26772993285681
21,深科技,2022,49.24332301281866,55.72614745963288,41.04213084869354,48.54265,49.80200583509674
21,深科技,2023,47.87561368480955,50.509809677662055,47.922152454256974,69.479025,50.967231167716456
21,深科技,2024,50.48901877947858,51.553361817560216,42.30639389642833,71.0634,51.28245198824925
25,特力A,2022,49.57126460063467,34.57666176307287,65.2403618931875,35.9903625,46.09888285593513
25,特力A,2023,33.11341956268025,23.33004622472537,57.38977823590947,11.95305,32.428473672773855
25,特力A,2024,23.4073130974083,33.63686138742872,65.04137349686403,24.03115,35.37685076906576
26,飞亚达,2022,33.078696335735025,60.54226211402739,53.88056174464925,36.34245,47.17769280634669
26,飞亚达,2023,30.07127906864589,64.28979252704623,48.12301667679428,60.6254375,48.713522143851094
26,飞亚达,2024,31.14384096762059,64.7969303492716,50.410168118290464,72.750525,50.93635608457036
27,深圳能源,2022,72.09313541093974,44.77811713317379,43.11660252515023,59.537625,55.48202139546977
27,深圳能源,2023,71.37359298590816,45.50091008246206,48.366079265410846,35.30565,54.10985692701175
27,深圳能源,2024,71.66536454565622,51.804661801902064,58.50381473229356,47.228,59.63807216810411
28,国药一致,2022,21.684655227292456,43.77228307737696,43.496387819863614,35.6944125,35.17864722060701
28,国药一致,2023,21.076034221669225,44.10520190267911,53.68307339139828,47.05355,38.25540232180157
28,国药一致,2024,21.046133665133056,42.58282059766135,54.75491188981163,61.5966875,39.38078511994037
29,深深房A,2022,30.664467528960135,26.782944673235686,56.39220849368712,45.6665,35.95168596950596
29,深深房A,2023,30.82747378878633,26.36344847985809,56.25379785294713,23.260125,33.59359486461497
29,深深房A,2024,30.927785333294757,28.470830237822742,53.863682398217534,66.49995,38.21224692953463
30,富奥股份,2022,41.87090675849031,61.08826872882298,34.438930524610086,35.9940375,46.522901275481665
30,富奥股份,2023,37.48854615777849,64.50216676163987,39.53142934305584,59.8355,49.58658539040759
30,富奥股份,2024,36.217772504991466,65.47842161049009,44.55978664506111,60.431875000000005,50.54881276943077
31,大悦城,2022,46.15102674653009,12.937384379368169,47.77530214030113,32.405475,33.47655182212462
31,大悦城,2023,43.12335426372292,18.693543067588276,54.015596516102896,44.1224,36.851273369179495
31,大悦城,2024,43.71075551954628,25.23196240803123,52.9302545405442,43.9025,39.10625218276097
32,深桑达A,2022,37.7759773141584,30.3422131814508,37.47552494767403,44.9077,35.82724166299803
32,深桑达A,2023,36.68508926762927,46.145372961853695,48.1736547160894,44.4012,43.06551272353692
32,深桑达A,2024,34.574688696625095,47.778555927514354,69.72858010937817,33.102825,46.07963414032444
34,神州数码,2022,23.808559275442,39.7405734262195,40.25217743568969,34.13385,33.70601693271946
34,神州数码,2023,32.08233262922345,41.39187238851248,61.87293228006212,46.4111,42.73166821222
