code,name,year,industry
000001,平安银行,2022,S48
000001,平安银行,2023,S48
000001,平安银行,2024,S48
000002,万科A,2022,S43
000002,万科A,2023,S43
000002,万科A,2024,S43
000004,*ST国华,2022,S71
000004,*ST国华,2023,S71
000004,*ST国华,2024,S71
000006,深振业A,2022,S43
000006,深振业A,2023,S43
000006,深振业A,2024,S43
000007,全新好,2022,S45
000007,全新好,2023,S45
000007,全新好,2024,S45
000008,神州高铁,2022,S64
000008,神州高铁,2023,S64
000008,神州高铁,2024,S64
000009,中国宝安,2022,S63
000009,中国宝安,2023,S63
000009,中国宝安,2024,S63
000010,美丽生态,2022,S62
000010,美丽生态,2023,S62
000010,美丽生态,2024,S62
000011,深物业A,2022,S43
000011,深物业A,2023,S43
000011,深物业A,2024,S43
000012,南玻A,2022,S61
000012,南玻A,2023,S61
000012,南玻A,2024,S61
000014,沙河股份,2022,S43
000014,沙河股份,2023,S43
000014,沙河股份,2024,S43
000016,深康佳A,2022,S33
000016,深康佳A,2023,S33
000016,深康佳A,2024,S33
000017,深中华A,2022,S35
000017,深中华A,2023,S35
000017,深中华A,2024,S35
000019,深粮控股,2022,S11
000019,深粮控股,2023,S11
000019,深粮控股,2024,S11
000020,深华发A,2022,S27
000020,深华发A,2023,S27
000020,深华发A,2024,S27
000021,深科技,2022,S27
000021,深科技,2023,S27
000021,深科技,2024,S27
000025,特力A,2022,S28
000025,特力A,2023,S51
000025,特力A,2024,S51
000026,飞亚达,2022,S35
000026,飞亚达,2023,S35
000026,飞亚达,2024,S35
000027,深圳能源,2022,S41
000027,深圳能源,2023,S41
000027,深圳能源,2024,S41
000028,国药一致,2022,S37
000028,国药一致,2023,S37
000028,国药一致,2024,S37
000029,深深房A,2022,S43
000029,深深房A,2023,S43
000029,深深房A,2024,S43
000030,富奥股份,2022,S28
000030,富奥股份,2023,S28
000030,富奥股份,2024,S28
000031,大悦城,2022,S43
000031,大悦城,2023,S43
000031,大悦城,2024,S43
000032,深桑达A,2022,S62
000032,深桑达A,2023,S62
000032,深桑达A,2024,S62
000034,神州数码,2022,S71
000034,神州数码,2023,S71
000034,神州数码,2024,S71
000035,中国天楹,2022,S76
000035,中国天楹,2023,S76
000035,中国天楹,2024,S76
000036,华联控股,2022,S43
000036,华联控股,2023,S43
000036,华联控股,2024,S43
000037,深南电A,2022,S41
000037,深南电A,2023,S41
000037,深南电A,2024,S41
000039,中集集团,2022,S64
000039,中集集团,2023,S64
000039,中集集团,2024,S64
000042,中洲控股,2022,S43
000042,中洲控股,2023,S43
000042,中洲控股,2024,S43
000045,深纺织A,2022,S27
000045,深纺织A,2023,S27
000045,深纺织A,2024,S27
000048,京基智农,2022,S43
000048,京基智农,2023,S43
000048,京基智农,2024,S43
000049,德赛电池,2022,S63
000049,德赛电池,2023,S63
000049,德赛电池,2024,S63
000050,深天马A,2022,S27
000050,深天马A,2023,S27
000050,深天马A,2024,S27
000055,方大集团,2022,S61
000055,方大集团,2023,S61
000055,方大集团,2024,S61
000056,皇庭国际,2022,S43
000056,皇庭国际,2023,S43
000056,皇庭国际,2024,S43
000058,深赛格,2022,S45
000058,深赛格,2023,S45
000058,深赛格,2024,S45
000059,华锦股份,2022,S75
000059,华锦股份,2023,S75
000059,华锦股份,2024,S75
000060,中金岭南,2022,S24
000060,中金岭南,2023,S24
000060,中金岭南,2024,S24
000061,农产品,2022,S45
000061,农产品,2023,S45
000061,农产品,2024,S45
000062,深圳华强,2022,S27
000062,深圳华强,2023,S27
000062,深圳华强,2024,S27
000063,中兴通讯,2022,S73
000063,中兴通讯,2023,S73
000063,中兴通讯,2024,S73
000065,北方国际,2022,S62
000065,北方国际,2023,S62
000065,北方国际,2024,S62
000066,中国长城,2022,S71
000066,中国长城,2023,S71
000066,中国长城,2024,S71
000068,华控赛格,2022,S76
000068,华控赛格,2023,S76
000068,华控赛格,2024,S76
000069,华侨城A,2022,S43
000069,华侨城A,2023,S43
000069,华侨城A,2024,S43
000070,特发信息,2022,S73
000070,特发信息,2023,S73
000070,特发信息,2024,S73
000078,海王生物,2022,S37
000078,海王生物,2023,S37
000078,海王生物,2024,S37
000088,盐田港,2022,S42
000088,盐田港,2023,S42
000088,盐田港,2024,S42
000089,深圳机场,2022,S42
000089,深圳机场,2023,S42
000089,深圳机场,2024,S42
000090,天健集团,2022,S43
000090,天健集团,2023,S43
000090,天健集团,2024,S43
000096,广聚能源,2022,S75
000096,广聚能源,2023,S75
000096,广聚能源,2024,S75
000099,中信海直,2022,S42
000099,中信海直,2023,S42
000099,中信海直,2024,S42
000100,TCL科技,2022,S27
000100,TCL科技,2023,S27
000100,TCL科技,2024,S27
000151,中成股份,2022,S45
000151,中成股份,2023,S45
000151,中成股份,2024,S45
000153,丰原药业,2022,S37
000153,丰原药业,2023,S37
000153,丰原药业,2024,S37
000155,川能动力,2022,S41
000155,川能动力,2023,S41
000155,川能动力,2024,S41
000156,华数传媒,2022,S72
000156,华数传媒,2023,S72
000156,华数传媒,2024,S72
000157,中联重科,2022,S64
000157,中联重科,2023,S64
000157,中联重科,2024,S64
000158,常山北明,2022,S71
000158,常山北明,2023,S71
000158,常山北明,2024,S71
000159,国际实业,2022,S62
000159,国际实业,2023,S62
000159,国际实业,2024,S63
